TF,Target,Label
TAX1BP3,GM23571,0
GATA6,MARC2,0
CCND1,HIST1H2BK,0
HMGA1,CRIP2,0
HSPB1,RNU73B,0
ETV5,NSD2,0
PML,GM10925,0
GATA6,HIP1,0
SOX7,EFEMP2,0
TFCP2L1,GM8355,0
NANOG,OPLAH,0
ETV5,STARD8,0
KAT2B,LAMA1,0
TAX1BP3,GM23268,0
HMGA1,CHST15,0
DAB2,PRC1,0
PCBD1,LGMN,0
DAB2,HIST1H4N,0
TRP53,GASK1B,0
PEG3,ASS1,0
TRP53,GM25673,0
ESRRB,RASGRP2,0
NANOG,MIR5121,0
PHC1,GM24616,0
ZFP42,GM27592,0
HMGA1,PCOLCE,0
CREB3,GM4322,0
GATA6,CTSD,0
DNMT3A,HIST1H1D,0
SOX7,SNORA81,0
HSPB1,MIR7005,0
SOX7,KAT6B,0
NR0B1,MIR8094,0
JARID2,ARHGEF40,0
CREB3L2,PODXL,0
BCL3,CAR2,0
NANOG,IFI30,0
KAT2B,MIR5117,0
TGIF1,IFITM1,0
JARID2,MIR466B-6,0
KPNA2,MIR677,0
KDM5B,IFITM2,0
SOX2,FDPS,0
NFXL1,CALR,0
PCBD1,TIMP2,0
BHLHE40,SERPINE2,0
RBPJ,HIST1H2BG,0
