TF,Target
NFIA,ARL6IP6
PRDM16,EPB41L4B
EPAS1,SPNS2
TEAD2,HJURP
NFE2,SCARF1
E2F8,OAS2
APBB1,INPP5K
IKZF1,ABHD17B
RBL2,HLF
XRCC6,BIRC3
GFI1B,TPM4
RAD51,NDN
RORA,ITPK1
PBX1,TPST2
JUN,TCF19
HNRNPAB,TESPA1
IRF6,HNRNPAB
TRPS1,CTSF
LDB2,FLT3
EPOR,ANXA2
IRF6,TES
MECOM,TGM2
MIS18BP1,BIRC3
PGR,ENPP4
CTR9,NFAT5
XPC,FDFT1
ZFP111,TBXA2R
BATF2,CAPN5
PBX3,STK10
SPO11,ARNTL
MCM2,SLC39A6
MEF2C,ANO10
PBX3,ESAM
TSC22D3,ARHGEF18
REL,MYO5A
SOX18,KCTD20
H1F0,SCARF1
IRF7,KCTD12
ELL2,MUC13
PHC1,TRIB3
TRPS1,PGLYRP2
EGR1,MORC3
CENPK,CCL9
SPO11,CLOCK
NDN,SELL
SOX6,RASSF5
HDAC7,ASB13
MAML3,DUSP6
VDR,GM4759
ZBTB20,LYN
VEZF1,P2RY14
MCM4,TMOD3
HDAC11,B4GALT4
SPO11,MLLT3
MED16,PA2G4
MCM4,EYA2
JUN,CD74
MCM5,TSPAN6
RARB,PARVG
TAF12,RMND5A
MAML3,GPR65
EGR1,USP11
MED16,MAP3K2
SOX18,PROCR
MCM6,FLNA
MCM5,IL12A
MED16,NFKBIA
NFIA,SNX10
MLLT3,PIP4K2A
IKZF1,PDE7A
MEF2C,TRIM59
CLOCK,DNAJC9
NFKB1,FUT7
HIST1H1C,ANXA4
RUNX1T1,KCTD12
XRCC6,CEP70
NFIA,SAT1
GFI1B,H2-OB
RARB,MCM2
XRCC6,PPT1
EPAS1,UBE2L6
PRDM16,MAPKAPK3
LDB2,ANO10
MCM5,GM20559
PBX3,TRMT6
PML,NAPRT
XPC,ZFP62
H1F0,PML
IRF8,PPP1R15A
TLE2,PYGL
CENPK,NT5C3
LDB2,ELOVL5
RBL2,ART4
EGR1,KLF6
NFKBIA,VSIR
