TF,Target
NR3C2,CREB5
MEF2A,NT5C3
RUNX1T1,CD274
YBX1,ETS1
HNRNPAB,PDK3
SPO11,CLOCK
ID1,EPOR
MCM4,9530082P21RIK
GFI1B,TPM4
CREB5,GM10384
DEK,NFIA
NOTCH1,RNF213
IKZF1,SUGP2
ESR1,ATP2B4
NFAT5,GM28875
YBX1,INKA1
PHC1,RMND5A
CLOCK,DNAJC9
APBB1,INPP5K
MCM4,TMOD3
GATA2,PSEN1
IRF6,HNRNPAB
NFKBIA,GM20559
RAD51,RMND5B
SPI1,GRINA
TAF12,RMND5A
SOX6,RASSF5
HMGB2,IKZF1
PRDM16,MAPKAPK3
ZBTB20,LYN
GATA2,PQLC1
PRDM16,CAPN5
PBX3,STK10
ESR1,STK10
EPOR,EPSTI1
PRDM16,LRRFIP1
PML,ABCF3
MEIS1,RBBP9
RAI14,SLA2
RUNX1T1,KCTD12
IRF6,ELOVL5
SATB1,BATF2
IRF7,KIF23
MEIS1,LIG1
XPC,FDFT1
XRCC6,PPT1
GFI1B,MYCT1
PGR,ARHGAP27
ARID3B,ANO10
TLE2,CLOCK
MLLT3,ART4
RPS6KA5,HELLS
IRF7,CDT1
HDAC11,PARP8
TLR4,ADGRG3
BTG2,CCNG2
RARB,MCM2
MECOM,MAPK11
CENPK,SATB1
LDB2,MAP2K1
EGR1,MORC3
NUPR1,TFPI
CENPK,PYGL
ARID3B,IDH1
MEF2A,CSAD
ELL2,ZFP120
NFIA,ARL6IP6
H1F0,RUNX1T1
EGR1,KLF6
NFKBIA,VSIR
PA2G4,DUSP1
YBX1,PRODH
MCM5,IL12A
PRDM16,PA2G4
LDB2,FLT3
ZFP467,TSPAN14
GATA2,PIP4K2A
XRCC6,BIRC3
NFIA,SNX10
NFE2,IER2
ELL2,MUC13
XRCC6,CEP70
YBX1,IGKC
PBX3,ESAM
MCM4,EYA2
TCF19,MILR1
CLOCK,ZFP62
ELF1,PRDM5
AEBP1,BCLAF3
E2F8,HNRNPAB
SOX18,KCTD20
RAD51,NDN
LDB2,ANO10
GATA2,RAB38
NFAT5,GRAMD1A
MAML3,GPR65
PHC1,CDK17
IRF8,PPP1R15A
PGR,RHOF
RARB,MAPK11
KLF8,MCM2
RPS6KA5,IL27RA
TRPS1,PGLYRP2
TCF19,PLA2G4A
ZBTB38,NKG7
NDN,SELL
TAF12,CPQ
NFE2,SCARF1
PRDM16,KIF23
MCM5,LRRC8C
NOTCH1,SERPINB9
TEAD2,HJURP
SLA2,SOX18
NFAT5,UNC93B1
APBB1,RASSF5
SMARCA2,ENPP4
RBL2,ART4
RUNX1T1,CCL3
MCM6,FLNA
SPO11,HJURP
PRDM5,MYO1F
THRB,YBX1
JUN,CD74
TRPS1,LDHB
PBX3,TESPA1
CENPK,CCL9
IRF6,SERPINB6A
RORA,ITPK1
IKZF1,ABHD17B
REL,MYO5A
RAD51,TNPO1
PA2G4,FOXO1
ZBTB38,TRIB3
IRF7,MYC
MAPK11,NUDT19
RAD51,KLF3
CREB5,USP11
ETS1,KCNK5
HDAC7,GMFB
MAPK11,IGHM
EPAS1,SPNS2
HNRNPAB,GATA2
PBX1,TPST2
MCM4,RAB37
FOXO1,SNX30
HIST1H1C,PSTPIP1
EGR1,PIP4K2A
RBL2,PGLYRP2
PBX1,GATA2
CREB5,ZFP62
MECOM,PRIM1
VDR,C030034L19RIK
CENPK,NT5C3
HLF,IER2
PHC1,TRIB3
NFIA,METTL7A1
NFE2,FADS1
VDR,YOD1
MED16,PA2G4
NUPR1,TAPT1
SATB1,NUBP2
H1F0,SERPINB1A
MECOM,ITSN1
MCM2,SLC39A6
XPC,ZFP62
CLOCK,ASB13
ZFP467,SELL
VEZF1,P2RY14
TLE2,PYGL
E2F8,KIF23
IRF6,TES
MCM4,FCHO2
MEF2C,TRIM59
PBX1,EPSTI1
LZTS1,ZFP367
MAPK11,NAPRT
EGR1,FOXO1
PHC1,AKNA
EPAS1,UBE2L6
TLE2,SUGP2
KLF8,IRGM2
TSC22D3,SQOR
AEBP1,PIK3CG
IRF7,KCTD12
ZBTB20,TMEM173
NUPR1,MGAT1
REL,PLCB2
RBL2,HLF
DACH1,GRINA
SOX6,RPA2
MYCN,GRAMD1A
BATF2,CAPN5
ZFP111,TBXA2R
NFIA,SAT1
KLF8,SSTR2
EGR1,OASL2
EYA2,HACD4
HIF3A,MAN1A
MAML3,DUSP6
RPS6KA5,SPI1
