TF,Target
ZFPM1,HIST1H2AC
CREB3,FN1
ZBTB10,GM47315
SOX17,GM25943
KLF3,HIST1H2BL
ZFPM1,HSP90AA1
KLF2,SSR3
TCF7L2,SNHG12
GATA4,MIR669F
TET1,HIST1H2AL
RUNX1,AMPD2
BHLHE40,SMAD7
PEG3,GM10052
TFEB,TXNDC5
ZFP42,ERP29
MYCN,ITGAV
ZFP42,GM25193
TCF7L2,GJB5
FOXH1,FAT1
CREB3,GM25057
PLSCR1,CENPV
PLSCR1,TMEM9
BHLHE40,NRG1
TFEB,ZFP979
EGR1,ZFPM1
SOX2,TPX2
KLF3,GM15452
ZBTB10,HIRIP3
TFEB,NUTF2-PS2
TFCP2L1,ZFP989
ZFP42,CCN2
EPAS1,TSPAN9
GATA6,GLMP
HMGA1,GM26073
SOX7,MIR28B
GLMP,EED
GATA6,LRRK1
TGIF1,ACTG1
KLF6,UHRF1
HMGA1,MRPL23-PS1
POU5F1,EIF4A2
SOX7,IFITM2
ZFPM1,CTNNAL1
EPAS1,MSC
ZBTB10,GM24616
KLF3,GM42413
TFCP2L1,PIK3R1
FOXH1,GM25316
GLMP,SNHG5
EPAS1,CALR
PEG3,HIST1H3I
KDM5B,TXNIP
RBPJ,IL6
RBPJ,GM6158
PEG3,MT2
FOXQ1,GM22620
MYCN,PLXNB2
TGIF1,EIF4A-PS4
KDM5B,SLC6A6
HNF1B,GABARAPL2
TET2,TDH
TFCP2L1,GM22914
KLF6,CEMIP
GATA4,HIST1H4D
MYCN,EHD1
RUNX1,ZBTB10
MSC,GM23566
GLMP,LRRC8D
SOX2,GM47315
ETS1,GM8818
ETS1,MIR5121
ETV5,GFPT2
MYBL2,2810025M15RIK
ZFP57,GM22571
TET1,BNIP3
KLF4,PDE4DIP
ZFP42,TNK2
FOXH1,GM10719
BHLHE40,SOX7
EGR1,ZBTB10
XBP1,GM26426
FOXH1,MIR3082
EGR1,MCM6
RUNX1,PDCD6IP
ESRRB,SPSB1
ZBTB10,CAR2
TGIF1,ZFP987
KLF2,ZFP42
GATA4,DCXR
MYBL2,TPM4
ZFP57,ID1
TET1,GM2399
RBPJ,GM23566
SOX2,DKK1
GATA6,PCOLCE
TGIF1,CENPV
BHLHE40,FZR1
MYBL2,RPS25-PS1
PLSCR1,MEG3
ZFP57,ME1
RBPJ,MIR466B-6
GATA4,HIST1H2BG
BHLHE40,SLC1A3
